time,fa_swc_20,fa_swc_40,fa_swc_100,g2e_swc_20,g2e_swc_40,g2e_swc_100,crop_swc_20,crop_swc_40,crop_swc_100,syntropic_swc_20,syntropic_swc_40,syntropic_swc_100,fa_iso_20,fa_iso_40,fa_iso_100,g2e_iso_20,g2e_iso_40,g2e_iso_100,crop_iso_20,crop_iso_40,crop_iso_100,syntropic_iso_20,syntropic_iso_40,syntropic_iso_100
2017/1/1,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/2,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/3,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/4,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/5,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/6,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/7,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/8,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/9,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/10,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/11,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/12,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/13,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/14,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/15,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/16,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/17,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/18,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/19,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/20,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/21,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/22,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/23,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/24,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/25,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/26,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/27,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/28,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/29,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/30,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/31,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/1,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/2,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/3,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/4,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/5,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/6,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/7,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/8,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/9,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/10,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/11,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/12,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/13,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/14,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/15,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/16,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/17,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/18,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/19,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/20,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/21,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/22,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/23,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/24,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/25,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/26,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/27,,,,,,,,,,,,,,,,,,,,,,,,
2017/2/28,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/1,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/2,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/3,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/4,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/5,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/6,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/7,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/8,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/9,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/10,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/11,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/12,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/13,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/14,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/15,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/16,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/17,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/18,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/19,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/20,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/21,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/22,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/23,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/24,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/25,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/26,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/27,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/28,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/29,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/30,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/31,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/1,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/2,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/3,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/4,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/5,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/6,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/7,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/8,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/9,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/10,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/11,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/12,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/13,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/14,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/15,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/16,,,,,,,,,,,,,,,,,,,,,,,,
